reporter	gene	a15234.R	a15234.G	a15235.R	a15235.G	a15236.R	a15236.G	a15237.R	a15237.G	a15238.R	a15238.G	a15239.R	a15239.G	a15240.R	a15240.G	a15241.R	a15241.G	a15242.R	a15242.G	a15243.R	a15243.G	a15244.R	a15244.G	a15245.R	a15245.G	a15246.R	a15246.G	a15247.R	a15247.G	a15248.R	a15248.G	a15249.R	a15249.G	a15250.R	a15250.G	a15251.R	a15251.G	a15252.R	a15252.G	a15253.R	a15253.G
PU13482	F130P74	1347.5	1414.5	1179.5	1578.5	1261	3107.5	1037.5	3207.5	941.5	753	1580.5	942.5	1721	4830	2913.5	3309.5	1089	1054	1037.5	1202	4224	2992.5	1414.5	880.5	1565.5	925.5	1526	724.5	3317	895	2121	722.5	1297.5	1112	2291.5	3133.5	3565	3265	1847.5	1833
PU13343	F130P66	267	231.5	488	344	861	1476	722.5	1080.5	197	228	286	122	1040.5	2090	1830	878	293.5	406	190	366	2286	2172	908.5	693.5	390	158	942	227.5	1747	312.5	1141	236.5	242	658.5	1246	5552	1900.5	5800.5	1056	3562
PU13476	F129P29	41	111	350.5	291	924.5	1920	916	2324	29	114.5	285	164	1247.5	2606	1905.5	1774	75.5	186.5	13	87.5	2187	2184.5	997.5	913	99.5	70	1148	550	1536.5	547	1082.5	422	87.5	167	1254.5	1764.5	1868.5	1766	1096	1087.5
PU13337	F129P03	0	16	21	0	14	25	11	79.5	0	23.5	91.5	0	67.5	103	229	102	0	307.5	0	24.5	159.5	165.5	27	43.5	29.5	42.5	57.5	147.5	174.5	168.5	36.5	74.5	16	103	107.5	976.5	132.5	696	57.5	474
PU13470	F127P66	386	752	650	924.5	1895	4376	1752	6664	232.5	412	387	361	2505	5572	3552.5	5014	263	570.5	191	407	4664	3897	1943	1461.5	392	214.5	2433	1095	3223	985	2098.5	829	326	243.5	2596	1331	3952	1441	2321	753
PU13331	F127P48	260.5	368.5	474.5	460.5	1672.5	2650	1483.5	3433.5	189.5	233.5	283.5	188	1870.5	2953.5	2912	2398.5	223.5	556.5	187	311.5	3239.5	3677	1880	1931.5	261.5	249	1728.5	1480	2381.5	1472	1581	1214	283	499	1945.5	4777.5	2758.5	4786	1852	3091.5
PU13464	F126P04	751.5	967	1149.5	1248	3551	6860	2626	6494	493	753.5	911.5	711	4170.5	8304	5745.5	4937.5	690.5	989	561.5	944.5	7225.5	7264.5	3118.5	2969	831	527	4722.5	3375	5314.5	2996	4049.5	2944.5	808.5	1159	4242.5	8436.5	6979.5	9363	3413	5045
PU13325	F125P92	13.5	94	249.5	186.5	216.5	960	225	892	39	116	107.5	0	326	1061.5	526	581	57	232	2.5	85	678.5	800.5	223	259.5	75.5	61	376	258.5	475	264	192.5	166	69.5	97.5	352	49.5	688.5	102	246.5	14
PU13175	F103P07	0	19.5	3.5	0	9	82	0.5	139.5	0	13.5	0	0	67.5	156	173	144	17	109.5	0	15	72	152	4	37.5	0	23.5	39	94	133	199.5	1	63.5	0	80.5	34.5	129	85	196.5	7	70.5
PU12983	F102P81	524	625.5	714	675.5	5055	7548.5	5349.5	9121	407	523.5	502	403	5460	8353	8149.5	5207	515.5	862	406.5	842.5	11534	14906.5	5109	6699.5	486.5	494.5	6477.5	7865.5	3840	5139.5	4291	4739	533.5	705	6126	13336	9877	13542.5	5365	8676.5
PU13169	F101P80	0	0	0	0	0	0	0	0	0	0	50.5	0	0	0	0	5	0	1	0	0	0	0	0	0	0	5.5	0	2	0	13	0	0	0	9.5	0	0	0	0	0	0
PU12977	F101P70	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0.5	0	0	0	1.5	0	0	0	0	0	0	0	1	0	0	0	0	0	3.5	0	0	0	0	0	0
PU13163	F100P55	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	3.5	0	14	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	10	0	0	0	0	0	0
PU12971	F100P40	0	0	0	0	0	0	0	0	0	0	56.5	0	0	0	0	5.5	0	23	0	0.5	0	0	0	0	0	0	0	3.5	0	0	0	3	0	17	0	0	0	0	0	0
PU13157	F098P91	20214	18009.5	24081.5	17397.5	379.5	553.5	314	757.5	13708	9228	27033.5	13427.5	533	754	886.5	625	15595	12098.5	16494.5	16285	1098.5	788	394	279	21608.5	13713	606	282	1013	460	516	179	24866.5	16846.5	484	2171.5	907.5	2436	422.5	1332
PU12965	F098P83	629	874.5	1084	999	3544.5	6598	3162.5	6848	441	590	681.5	535	4714.5	8535.5	6393	4971.5	494	968	391.5	663	8241.5	8223.5	3413	3155	835.5	632.5	4089.5	3560	6165.5	3783	3756	2957	658	871	4638.5	10352	6665	10048	3996.5	6364.5
PU12791	F051P02	479	418	512.5	380.5	5089.5	6728.5	5080.5	5381.5	286	294	418	236.5	6431	8842	9070.5	3603.5	238.5	769.5	283.5	598	13732.5	19064	5376	6685.5	455	505.5	5971	8904.5	7832.5	8766	5581.5	7661.5	397	353.5	6311	6142	12455	7635.5	6759.5	4212
PU12599	F050P78	379.5	1046	637	1245	831	715.5	588.5	6915	178.5	162	251	58	952	749	1315.5	4412.5	194	376	152.5	102.5	1607.5	149	840	60	232.5	69	768.5	75	1200	149	551.5	31.5	243	196.5	838	323	1396	277	903.5	154
PU12785	F049P92	5.5	58.5	174.5	154.5	20.5	90	0	230	0.5	82.5	92.5	0	56	131	215	138	74.5	258.5	25	85.5	136	88.5	20	29	98	95	77.5	42.5	115	82.5	9	7	52	155	22.5	869	143	1008	47	537
PU12593	F049P79	0	25	57.5	2.5	0	106	0	157	0	31.5	82.5	0	18.5	132.5	126.5	151	13	149	0	23	39	150.5	0	55.5	19	49	30.5	51.5	84.5	59.5	2.5	8	23.5	108.5	0	21	21.5	40.5	9	14
